,mat,dHf,dHd,Stability,Band Gap,Mag,Decomps
1266,Rb2CaZnF6,-18.287061,-13779.211300000308,Stable,4.6997,False,RbF ZnF2 CaF2
1267,Rb2Cs2Co3NiCl12,-7.3250910000000005,-5354.764260000014,Stable,0.018799999999999928,False,Cl2Co1 Cl2Ni1 RbCl CsCl
1268,RbCsMgSnCl6,-13.933646999999999,-10474.65548500001,Stable,2.5525,False,RbCl CsCl MgCl2 SnCl2
1269,K2MnCoCl6,-16.625327,-14921.246999999998,Stable,0.0,False,Cl2Co1 Cl3K1Mn1 Cl4Co1K2
1270,RbCsCaCdCl6,-13.666067000000002,-10284.612740000031,Stable,2.9753,False,CdCl2 CaCl2 RbCl CsCl
1271,Cs2MgSrBr6,-13.152559,-10282.281330000003,Stable,3.481,False,Br2Sr1 MgBr2 CsBr
1272,Rb2Cs2Mn3CdCl12,-8.258029,-5824.925825000017,Stable,1.0393,False,Cl2Mn1 CdCl2 RbCl CsCl
1273,Rb2Cs2Cr3MnCl12,-9.1098705,-6890.513759999896,Stable,0.0,False,Cl2Cr1 Cl2Mn1 RbCl CsCl
1274,Rb4Mg3CaCl12,-7.218953000000001,-3631.484245000154,Stable,4.511,False,CaCl2 RbCl MgCl2
1275,Rb4MgCa3F12,-10.103221999999999,-5103.982600000391,Stable,6.4403,False,RbF MgF2 CaF2
1276,KRbCoNiF6,-18.714176000000002,-15928.387599999995,Stable,0.0,False,Co1F2 F1K1 F2Ni1 RbF
1277,K4FeCo3Br12,-6.990725,-5822.06,Stable,0.0,False,Br1K1 Br2Co1 Br2Fe1
1278,K4MgCa3F12,-10.1509395,-5602.056900000024,Stable,6.3811,False,F1K1 MgF2 CaF2
1279,Cs4MgSn3Cl12,-6.989435500000001,-3544.8696374998976,Stable,2.1047000000000002,False,CsCl MgCl2 SnCl2
1280,K2Cs2CoCd3Cl12,-6.2213575,-3794.9534459559195,Stable,0.38260000000000005,False,Cl4Co1K2 CdCl2 CsCl
1281,Rb4CrPb3Br12,-6.803315499999999,-3980.706114999983,Stable,0.0,False,Br2Cr1 PbBr2 RbBr
1282,Cs4Ca3CoCl12,-7.800279000000001,-4395.185024999941,Stable,0.4872000000000001,False,Cl2Co1 CaCl2 CsCl
1283,Rb2Cs2CrSr3Br12,-7.287248,-4803.506132500011,Stable,0.0,False,Cr Br2Sr1 CsBr3 CsBr RbBr
1284,Cs4Mg3MnF12,-9.899725499999999,-5526.3908300000185,Stable,3.199,False,F2Mn1 CsF MgF2
1285,Rb4Mg3VCl12,-7.512404999999999,-4306.526070000036,Stable,0.9682,False,Cl2V1 RbCl MgCl2
1286,Cs2MgSnBr6,-12.455749,-9357.686999999942,Stable,1.8178999999999998,False,MgBr2 SnBr2 CsBr
1287,K2Rb2Mn3NiCl12,-8.535394499999999,-6517.5575099999905,Stable,0.0,False,Cl2Mn1 Cl2Ni1 Cl3K1Mn1 RbCl
1288,Rb4Fe3CoI12,-6.5009879999999995,-4766.822500000013,Stable,0.016300000000000203,False,Fe Co RbI3
1289,RbCsMgCaCl6,-14.874562000000001,-11187.467309999947,Stable,4.7133,False,CaCl2 RbCl CsCl MgCl2
1290,K2Cs2V3MnCl12,-9.041046,-6909.736250000004,Stable,0.3218000000000001,False,Cl1K1 Cl2V1 Cl3K1Mn1 CsCl
1291,Cs4CrBa3I12,-6.542648,-4367.6851424999995,Stable,0.0,False,Cr Ba1I2 CsI3 CsI
1292,KCsCoCdF6,-17.315061,-14164.21599000002,Stable,0.1501999999999999,False,Co1F2 F1K1 CsF CdF2
1293,RbCsCaCoBr6,-13.783321,-11063.04079500002,Stable,0.32089999999999996,False,Co CsBr3 CaBr2 RbBr
1294,Rb2MgMnCl6,-16.086038,-13198.260719999998,Stable,1.5955000000000001,False,Cl2Mn1 RbCl MgCl2
1295,Rb2CaCoF6,-19.89174,-15856.924099999915,Stable,0.36009999999999986,False,Co1F2 RbF CaF2
1296,Cs2CaSnBr6,-13.384998999999999,-10080.414169999754,Stable,2.0668,False,SnBr2 CsBr CaBr2
1297,Rb4Cr3SnCl12,-8.5691615,-6007.237582499989,Stable,0.0,False,Cr Cl2Cr1 RbCl SnCl4
1298,Rb2Cs2CoPb3I12,-5.7206595,-3163.709152500159,Stable,0.41500000000000004,False,Co RbI CsI3 CsI PbI2
1299,Cs2NiPbBr6,-12.547115999999999,-9999.721774999929,Stable,0.0959000000000001,False,Ni PbBr2 CsBr3 CsBr
1300,Rb4Ca3CrCl12,-8.1269895,-4653.981045000045,Stable,0.0,False,Cl2Cr1 CaCl2 RbCl
1301,K2Rb2CaNi3F12,-9.341428,-6020.945050000129,Stable,0.5046999999999999,False,F1K1 F2Ni1 RbF CaF2
1302,Cs4Cr3MnI12,-7.506606,-5749.723749999995,Stable,0.0,False,Cr Mn CsI3
1303,Cs4CrCo3I12,-6.404559000000001,-4647.676750000004,Stable,0.0,False,Cr Co CsI3
1304,RbCsCoSnBr6,-13.060156000000001,-10454.095845000116,Stable,0.0,False,Co CsBr SnBr4 RbBr
1305,Rb2Cs2Mg3CaCl12,-7.223435,-3639.608485000001,Stable,4.4273,False,CaCl2 RbCl CsCl MgCl2
1306,Rb2Cs2CaSr3Br12,-7.0283739999999995,-4158.322020000007,Stable,4.3329,False,Br2Sr1 CsBr CaBr2 RbBr
1307,Rb2Cs2Cu3PbCl12,-6.443698500000001,-4182.474634999947,Stable,0.0,False,Cu Cl2Cu1 RbCl CsCl PbCl4
1308,Cs4MnSr3Cl12,-8.1261405,-5275.250999999999,Stable,2.7274,False,Cl2Mn1 Cl2Sr1 CsCl
1309,Cs4CaSn3Br12,-6.51122,-3300.359155000729,Stable,1.5975000000000001,False,SnBr2 CsBr CaBr2
1310,Rb2MgNiF6,-18.632905,-14739.710299999942,Stable,0.6919000000000001,False,F2Ni1 RbF MgF2
1311,Rb2Cs2V3SnCl12,-8.494679,-5851.047322499879,Stable,0.2744,False,V Cl2V1 RbCl SnCl4 CsCl
1312,Cs4CoPb3Cl12,-7.156003,-4056.4317750000932,Stable,0.4908999999999999,False,Co PbCl2 CsCl PbCl4
1313,KRbMnCoBr6,-15.033734999999998,-13484.463270000004,Stable,0.0,False,Br1K1 Br2Co1 Br2Mn1 RbBr
1314,RbCsCoNiBr6,-12.961318,-11150.670095000009,Stable,0.0,False,Co Br2Ni1 CsBr3 RbBr
1315,RbCsMgSrBr6,-13.121244999999998,-10250.09969999999,Stable,3.4726000000000004,False,Br2Sr1 MgBr2 CsBr RbBr
1316,Rb2Cs2CrPb3Br12,-6.817507999999999,-3968.945207499995,Stable,0.0,False,Cr PbBr2 CsBr3 CsBr RbBr
1317,KCsCaCrBr6,-15.340548000000002,-12842.669524999897,Stable,0.0,False,Cr Br1K1 CsBr3 CaBr2
1318,Rb2Cs2Ca3PbBr12,-6.880958,-3474.066745000143,Stable,3.9429,False,PbBr2 CsBr CaBr2 RbBr
1319,KCsMgMnCl6,-16.084358,-13406.599949999994,Stable,1.6307,False,Cl3K1Mn1 CsCl MgCl2
1320,Cs4Mg3SnF12,-9.351931,-4705.327454999994,Stable,4.6048,False,CsF MgF2 SnF2
1321,K2Rb2CaCo3F12,-9.8361965,-6549.868550000151,Stable,0.28349999999999986,False,Co1F2 F1K1 RbF CaF2
1322,KRbCoCdBr6,-11.842393,-9984.255699999987,Stable,0.3071,False,Br1K1 Br2Co1 CdBr2 RbBr
1323,KRbMgCoBr6,-12.878826,-10758.504799999979,Stable,0.2815000000000001,False,Br1K1 Br2Co1 MgBr2 RbBr
1324,K2Rb2CaCo3Br12,-6.820455,-4965.872119999993,Stable,0.30580000000000007,False,Br1K1 Br2Co1 CaBr2 RbBr
1325,Rb2Cs2Sn3PbCl12,-6.992476000000001,-3545.609747500096,Stable,1.9291000000000003,False,RbCl PbCl2 CsCl SnCl2
1326,Rb2MnSnBr6,-14.578005999999998,-11971.078214999516,Stable,1.3819,False,Mn SnBr4 RbBr
1327,Cs4Mg3CaI12,-5.452093,-2696.632645000029,Stable,1.7765000000000002,False,CsI CaI2 MgI2
1328,KCsCrMnBr6,-16.608239,-14887.932824999996,Stable,0.0,False,Cr Br1K1 Br2Mn1 CsBr3
1329,KCsCoNiBr6,-12.968388,-11380.141825000008,Stable,0.0,False,Co Br1K1 Br2Ni1 CsBr3
1330,KRbCoCuF6,-17.964572999999998,-15326.174599999964,Stable,0.0,False,Co1F2 Cu1F2 F1K1 RbF
1331,K4Ca3ZnF12,-9.747989,-5403.703450000021,Stable,5.564299999999999,False,F1K1 ZnF2 CaF2
1332,Rb2Cs2MnPb3Cl12,-7.534521,-4356.199860000004,Stable,2.3371000000000004,False,Cl2Mn1 RbCl PbCl2 CsCl
1333,RbCsMnCoBr6,-15.032428,-13089.720094999997,Stable,0.0,False,Co Br2Mn1 CsBr3 RbBr
1334,K4Co3ZnF12,-9.342874,-6568.517099999895,Stable,0.2336999999999998,False,Co1F2 F1K1 ZnF2
1335,Rb2Cs2MnSn3Br12,-6.8111435,-3949.111177500145,Stable,1.5307,False,Mn SnBr2 CsBr SnBr4 RbBr
1336,K2CaCoCl6,-15.399556999999998,-12900.207349999999,Stable,0.36929999999999996,False,Cl4Co1K2 CaCl2
1337,Cs4MgCa3Cl12,-7.6806470000000004,-3893.9263749996094,Stable,5.2106,False,CaCl2 CsCl MgCl2
1338,Cs4SrCd3F12,-8.2868585,-4427.407780000013,Stable,3.7976,False,F2Sr1 CsF CdF2
1339,KRbMnCoF6,-20.999393,-18063.33460000001,Stable,0.0,False,Co1F2 F1K1 F2Mn1 RbF
1340,Cs4Co3PbCl12,-7.382498,-5043.496375000002,Stable,0.35760000000000014,False,Co Cl2Co1 CsCl PbCl4
1341,Cs4Fe3SnI12,-6.460929500000001,-4449.9569225000205,Stable,0.04269999999999996,False,Fe CsI3 CsI SnI2
1342,Cs4Mn3SnF12,-10.641239500000001,-7030.896954999997,Stable,2.0587000000000004,False,Mn F2Mn1 SnF3 CsF
1343,Rb4CrPb3Cl12,-7.484588,-4325.409619999959,Stable,0.0,False,Cl2Cr1 RbCl PbCl2
1344,Cs4MgPb3Br12,-6.317099499999999,-3186.3556400000334,Stable,2.5829999999999997,False,PbBr2 MgBr2 CsBr
1345,RbCsMgMnF6,-20.78856,-16757.45729000002,Stable,2.1461000000000006,False,F2Mn1 RbF CsF MgF2
1346,RbCsCrSnCl6,-16.06039,-13140.398384999706,Stable,0.0,False,Cr RbCl SnCl4 CsCl
1347,Rb2CaCrCl6,-16.927197,-13878.45337000007,Stable,0.0,False,Cl2Cr1 CaCl2 RbCl
1348,Rb2Cs2Co3SnI12,-5.892281,-3888.159195000025,Stable,0.0,False,Co RbI CsI3 SnI2 RbI3
1349,Rb2Cs2MgCa3Cl12,-7.663159,-3872.796135000166,Stable,5.1358,False,CaCl2 RbCl CsCl MgCl2
1350,Rb2Cs2Mg3MnBr12,-6.675042,-3878.2359275000067,Stable,2.0481000000000003,False,Mn MgBr2 CsBr3 CsBr RbBr
1351,K4MgCo3Br12,-6.6158079999999995,-5086.888264999999,Stable,0.09460000000000002,False,Br1K1 Br2Co1 MgBr2
1352,Rb2Cs2Fe3CoI12,-6.505961999999999,-4760.43812499999,Stable,0.017799999999999816,False,Fe Co CsI3 RbI3
1353,Rb4Mg3NiF12,-9.4898475,-5166.923849999948,Stable,1.4703,False,F2Ni1 RbF MgF2
1354,Rb2MgMnF6,-20.931218,-16887.753300000004,Stable,2.0761000000000003,False,F2Mn1 RbF MgF2
1355,Rb2MgCoF6,-19.304138000000002,-15433.7133000003,Stable,0.3519000000000001,False,Co1F2 RbF MgF2
1356,Rb2Cs2MnCo3Cl12,-7.8809595,-5843.49276,Stable,0.0,False,Cl2Co1 Cl2Mn1 RbCl CsCl
1357,Cs2ZnSrF6,-17.904175000000002,-13876.278380000058,Stable,4.7675,False,F2Sr1 ZnF2 CsF
1358,K2Cs2Mg3CrCl12,-7.4899935,-4556.19880000009,Stable,0.0,False,Cl1K1 Cl2Cr1 CsCl MgCl2
1359,Rb2Cs2CoPb3Cl12,-7.137848,-4034.634535,Stable,0.4552999999999999,False,Co RbCl PbCl2 CsCl PbCl4
1360,K2Rb2CrPb3Br12,-6.791725,-4191.517344999999,Stable,0.0,False,Br1K1 Br2Cr1 PbBr2 RbBr
1361,RbCsSrCdCl6,-13.581957,-10625.582389999974,Stable,3.0351,False,Cl2Sr1 CdCl2 RbCl CsCl
1362,K2Rb2Mg3CrCl12,-7.4974765,-4560.039559999672,Stable,0.0,False,Cl1K1 Cl2Cr1 RbCl MgCl2
1363,KCsCoPbBr6,-13.105133,-10779.272874999897,Stable,0.3184,False,Co Br1K1 PbBr2 CsBr3
